Ano;Mes;A535;A521;A564;A510;A569;A511;A555;A513;A514;F501;Total mean
2019;01;24.78535;25.76116;26.06237;24.52903;25.67473;26.54368;23.68548;24.13763;24.05363;23.66452;24.88976
2019;02;24.17128;24.82202;24.7256;23.62961;25.09092;25.61027;22.88884;23.11295;23.4625;22.8564;24.03704
2019;03;23.65632;24.27984;24.05995;23.18629;24.4058;24.82191;22.45376;22.02903;22.40175;22.15632;23.3451
2019;04;22.78454;23.86889;23.60444;22.46597;23.59486;24.45681;22.00376;21.84403;21.91694;21.91015;22.84504
2019;05;20.72823;22.40699;21.70376;20.44274;21.67863;22.7754;20.60175;20.20134;19.79866;20.59218;21.09297
2019;06;17.81972;20.48736;19.49472;18.46236;19.40833;21.23083;18.52549;18.39903;17.50639;18.36736;18.97016
2019;07;16.29731;19.44207;18.34624;16.60793;18.25962;20.29866;17.70203;17.44288;16.08132;17.71774;17.81958
2019;08;19.34261;21.28935;20.94704;18.00726;21.23024;21.64933;19.16892;17.80108;17.91855;18.67779;19.60322
2019;09;22.52125;24.38639;24.80569;21.11611;24.32583;23.94889;22.23028;21.37187;21.87222;21.75599;22.83345
2019;10;24.01438;25.29516;25.13333;22.5371;25.75981;25.5746;22.65605;21.87675;22.33414;22.43324;23.76146
2019;11;23.78694;24.23125;24.10444;22.57278;25.21472;24.93208;22.04458;21.44583;21.87389;21.75819;23.19647
2019;12;23.46667;23.81371;24.38911;22.73226;24.30753;24.87849;21.76277;21.93844;22.56465;21.67634;23.153
2020;01;24.45578;24.34059;24.7502;23.45995;24.89086;25.49178;22.33105;22.3539;22.96505;22.2836;23.73228
2020;02;23.65632;23.71882;24.02184;22.91853;24.16293;24.88362;21.75957;21.81063;22.03937;21.60072;23.05723
2020;03;22.74301;22.93091;23.31062;21.67631;23.38607;23.22527;21.02715;20.63038;21.44409;20.72379;22.10976
2020;04;21.70875;22.35764;22.41377;20.53014;23.47076;22.68125;20.40042;19.58333;20.19417;20.07611;21.34163
2020;05;17.77849;19.47755;18.90941;17.57513;20.28273;20.27218;17.74365;17.3418;18.84558;17.67608;18.59026
2020;06;17.82139;20.13083;19.56403;18.00222;21.79631;20.25;18.60954;18.48542;20.84211;18.51875;19.40206
2020;07;18.12917;20.53387;20.21992;18.17836;22.66141;20.35269;18.58111;18.63669;21.7467;18.53978;19.75797
2020;08;17.89247;20.19449;20.20672;17.97003;19.91976;20.45336;18.12314;17.65255;21.84611;17.69879;19.19574
2020;09;21.69472;25.18419;24.44965;21.50208;23.13769;24.39333;22.52782;22.17083;26.08248;22.20723;23.335
2020;10;23.76653;24.27191;24.8129;22.15565;null;23.79086;22.28172;21.37043;23.53543;21.97567;23.10679
2020;11;23.00056;23.32597;24.05625;22.19194;25.15;23.41486;21.10195;21.05736;21.842;21.04353;22.61844
2020;12;23.72675;24.09476;24.35806;23.1289;24.51025;24.4078;22.07793;22.06989;22.74409;22.08777;23.32062
2021;01;24.69497;24.51411;24.87527;23.41935;24.52392;25.17903;22.47258;22.70901;23.50551;22.46882;23.83626
2021;02;23.0744;23.11443;23.625;22.45149;23.27574;24.01086;21.17827;21.48988;22.10908;21.18631;22.55155
2021;03;23.26129;23.90121;24.44194;22.88051;23.81817;24.5125;22.01761;22.22782;22.70269;22.08602;23.18498
2021;04;20.79639;22.40472;22.21292;20.28569;22.12319;22.64042;20.55139;19.86583;19.85986;20.62667;21.13671
2021;05;22.77439;21.4168;20.94624;19.05685;20.91371;21.82245;19.76119;19.17863;18.45376;19.94718;20.42712
2021;06;24.45;19.98625;19.37472;17.46625;19.72583;19.93278;18.45021;17.41556;17.08486;18.24389;19.21303
2021;07;15.95099;18.92823;17.97715;16.27581;17.18462;19.59933;17.39472;16.59315;15.55847;17.1297;17.25922
2021;08;18.68804;20.77984;21.00874;18.17258;21.51768;20.87258;18.65223;18.37823;18.74543;18.40228;19.52176
2021;09;23.45478;25.13792;25.54819;22.03708;24.9075;24.63806;23.03082;22.26694;22.50542;22.73667;23.62634
2021;10;22.97325;23.20901;23.45766;20.99261;24.22173;23.52809;21.07631;20.41273;20.77124;20.85309;22.14957
2021;11;22.43931;22.75042;23.60333;21.43352;23.02632;22.91764;20.81156;20.60694;21.39028;20.77819;21.97575
2021;12;22.59449;22.60995;23.50659;22.02688;23.2091;23.0828;20.67183;20.66022;21.44073;20.54516;22.03478
2022;01;23.30553;23.62675;23.81425;23.35927;24.01038;24.92782;21.43938;21.97728;22.57849;21.70645;23.07456
2022;02;22.84301;22.80476;23.53472;22.73303;23.24813;23.71339;21.12504;21.36622;22.16949;21.13557;22.46734
2022;03;23.6457;25.06492;25.33495;23.59507;24.62946;25.11613;22.62083;23.66253;23.62016;22.73427;24.0024
2022;04;22.35444;23.68764;23.40889;21.56026;23.73035;23.92181;21.82295;null;21.26986;21.63653;22.59919
2022;05;17.73253;19.79113;19.18065;18.0794;19.2706;20.87298;18.1572;20.95714;17.03522;18.0754;18.91522
2022;06;17.02444;19.61462;18.92028;16.57812;18.66922;19.64528;18.24496;18.63178;16.48403;18.25319;18.20659
2022;07;16.78952;19.8203;19.43356;17.16641;18.53919;20.78468;18.13225;18.98302;17.14409;18.12487;18.49179
2022;08;18.60941;20.87769;20.69597;17.94303;20.6413;21.52742;18.80831;17.87325;17.81169;18.48589;19.3274
2022;09;21.1975;22.33958;22.74722;19.42222;22.78937;22.24597;20.25638;19.79749;19.59125;19.98139;21.03684
2022;10;22.9953;23.89946;24.53293;22.11142;24.59028;24.28871;21.82097;22.30123;21.90946;21.92325;23.0373
2022;11;21.72181;21.94042;22.42014;20.71375;22.48771;22.56569;20.05399;19.7;20.24472;19.79486;21.16431
2022;12;22.47608;22.5634;22.92473;22.02003;22.89554;23.09435;20.48033;20.67653;21.04839;20.40591;21.85853
2023;01;22.78996;22.80484;23.34731;22.6496;23.14522;23.6457;21.34724;21.25645;21.93876;20.90968;22.38348
2023;02;24.004;24.78259;24.89851;23.57884;24.62725;25.29435;22.84866;23.98184;23.17307;22.87113;24.00602
2023;03;23.74401;24.93333;24.73065;23.10309;24.62378;25.43356;22.71277;23.85014;22.76237;22.67796;23.85717
2023;04;22.10569;22.79889;22.66333;21.41208;22.96764;23.31764;20.89175;21.72275;20.49611;20.68569;21.90616
2023;05;18.49515;20.77917;19.94906;18.57742;20.03166;20.64315;19.16784;19.29085;17.9619;18.88468;19.37809
2023;06;16.94597;19.4775;18.65716;16.91042;18.41268;19.78597;18.0924;18.21092;17.27692;17.8375;18.16074
2023;07;17.96062;20.21626;19.65511;17.71734;19.43699;20.17903;17.15478;18.76606;17.33468;18.53172;18.69526
2023;08;19.58212;22.0004;22.16498;19.17513;21.18459;21.57487;20.85537;21.88758;19.24113;20.29059;20.79568
2023;09;23.27819;24.78417;25.70514;21.46736;24.68031;24.07111;22.6943;23.33354;22.72514;22.25639;23.49957
2023;10;25.2078;25.50376;26.2578;23.62083;26.1267;26.01734;23.38767;24.24068;23.40739;23.36653;24.71365
2023;11;25.40778;26.46458;26.24222;24.41681;29.68893;27.36681;24.53983;24.32632;24.04681;24.48958;25.69897
