id,lat,lng
A511,-19.57388888,-42.62249999
A513,-20.55666666,-43.75611111
A515,-21.56638888,-45.40416666
A516,-20.745237,-46.633916
A517,-21.105,-42.37583332
A518,-21.769965,-43.364329
A519,-19.53921,-49.518133
A521,-19.88388888,-43.96944443
A524,-20.455,-45.45388888
A531,-22.31444444,-45.37305554
A533,-18.78694444,-42.94305555
A535,-19.88527777,-44.41694443
A539,-15.08583333,-44.01611111
A541,-17.70555555,-42.38916666
A547,-16.36277777,-45.12388888
A550,-16.57555554,-41.48555555
A554,-19.73583333,-42.13722221
A562,-18.52055554,-46.44055555
A564,-20.17333332,-44.87499999
F501,-19.97999999,-43.95861111
